NGI ID,User ID,Mreads,>=Q30
P11562_101,PabB1C1,13.41,92.31
P11562_102,PabB1C6,11.95,91.04
P11562_103,PabB1C7,11.01,90.32
P11562_104,PabB2C3,13.63,90.82
P11562_105,PabB2C6,13.09,91.71
P11562_106,PabB2C8,15.21,93.12
P11562_107,PabB3C3,16.29,93.86
P11562_108,PabB3C4,14.09,91.7
P11562_110,PabB4C2_FMG,13.08,91.43
P11562_111,PabB4C2_ZE,16.6,93.04
P11562_112,PabB4C4_FMG,4.93,73.79
P11562_113,PabB4C4_ZE,16.99,93.43
P11562_114,PabB4C5_FMG,12.69,89.94
P11562_115,PabB4C5_ZE,12.53,91.06
P11562_116,PabB5C1_FMG,9.46,91.76
P11562_117,PabB5C1_ZE,15.56,92.08
P11562_118,PabB5C5_FMG,14.09,90.21
P11562_119,PabB5C5_ZE,13.78,90.21
P11562_120,PabB5C6_FMG,16.39,90
P11562_121,PabB5C6_ZE,18.12,92.91
P11562_123,PabB6C3_ZE,16.04,91.21
P11562_124,PabB6C4_FMG,12.03,92.17
P11562_125,PabB6C4_ZE,15.52,92.76
P11562_126,PabB6C6_FMG,15.13,92.6
P11562_127,PabB6C6_ZE,18.27,93.3
P11562_128,PabB7C2_FMG,17.13,92.57
P11562_129,PabB7C2_ZE,14.88,91.69
P11562_130,PabB7C3_FMG,14.78,92.8
P11562_131,PabB7C3_ZE,14.52,90.48
P11562_133,PabB7C6_ZE,18.54,94.16
P11562_134,PabB8C1_FMG,16.98,91.42
P11562_135,PabB8C1_ZE,16.07,93.88
P11562_136,PabB8C4_FMG,16.64,94.08
P11562_137,PabB8C4_ZE,14.22,91.15
P11562_138,PabB8C6_FMG,13.21,89.74
P11562_139,PabB8C6_ZE,14.09,90.27
P11562_140,PabB9C4_FMG,15.49,91.21
P11562_141,PabB9C4_ZE,17.44,93.63
P11562_142,PabB9C5_FMG,21.7,93.41
P11562_143,PabB9C5_ZE,10.92,92.08
P11562_145,PabB10S1_ZE,17.63,93.2
P11562_146,Pab739_1_FMG,14.23,93.17
P11562_147,Pab739_1_ZE,15.05,89.98
P11562_148,Pab739_2_FMG,20.24,93.56
P11562_149,Pab739_2_ZE,13.13,91.94
P11562_150,Pab739_3_FMG,19.66,93.69
P11562_151,Pab739_3_ZE,19.04,91.63
P11562_153,Pab738_1_ZE,9.14,90.74
P11562_154,Pab738_2_FMG,15.54,91.5
P11562_155,Pab738_2_ZE,20.25,94.11
P11562_157,Pab738_3_ZE,16.39,91.3
P11562_201,PabB3C6_FMG,13.57,94.03
P11562_202,PabB7C6_FMG,15.83,93.39
P11562_203,PabB10S1_FMG,16.79,93.89
P11562_204,Pab738-1_FMG,7.74,91.53
P11562_205,Pab738-3_FMG,15.53,94.23
P11562_206,PabB6C3_FMG,17.11,93.58